Image,PSNR_Bicubic,SSIM_Bicubic,PSNR_SwinIR,SSIM_SwinIR
Canon_193_LR4.png,25.82204276990553,0.7880023121833801,27.10089516782022,0.818382740020752
Canon_174_LR4.png,29.891012635267188,0.8243408799171448,31.18635908831051,0.8603873252868652
Canon_047_LR4.png,23.023442840041064,0.7044212222099304,24.77781366915003,0.768343448638916
Canon_067_LR4.png,27.391128302132604,0.7482683658599854,28.594097661360106,0.7798500061035156
Canon_049_LR4.png,23.499757592149038,0.6921935677528381,25.175569330309514,0.7530818581581116
Canon_168_LR4.png,29.362634066438037,0.7896834015846252,30.067349619068786,0.8098819255828857
Canon_104_LR4.png,28.85815068501662,0.6896889805793762,29.82786156716829,0.7263750433921814
Canon_155_LR4.png,26.03448543785417,0.796497106552124,27.194627772502244,0.8298664093017578
Canon_169_LR4.png,23.938206453711558,0.6489319205284119,25.53015568205119,0.7029297947883606
Canon_133_LR4.png,26.766790332337216,0.7231414914131165,28.208031287922836,0.7431936860084534
Average,26.458765111485302,0.7405169606208801,27.766276084566375,0.7792292237281799
